27 r 3 1
27 b8 4 5
27 b6 1 5
27 b4 5 2
27 b2 2 2
27 b1 1 2
28 b1 1 2
28 b4 5 2
28 b6 1 5
28 b8 4 5
28 r 3 1
28 b12 3 3
28 b3 4 1
28 b10 2 6
30 b2 2 1
30 b5 6 2
30 b7 2 5
30 b8 4 4
30 b9 5 4
28 b11 5 6
29 b12 2 3
29 b11 5 6
31 b9 5 4
31 b7 2 5
31 b5 6 2
31 b2 2 1
29 b10 2 6
29 b3 4 1
29 r 3 1
29 b8 4 5
29 b6 1 5
29 b4 5 2
29 b1 1 2
30 b1 1 2
30 b4 5 2
30 b6 1 5
30 r 3 1
30 b3 4 1
30 b10 2 6
32 b1 1 1
32 b2 2 1
32 b5 6 2
32 b7 2 5
32 b9 5 4
30 b11 5 6
30 b12 2 3
31 b12 2 3
31 b11 5 6
33 b9 5 4
33 b7 2 5
33 b5 6 2
33 b2 2 1
33 b1 1 1
31 b10 2 6
31 b3 4 1
31 b8 4 3
31 r 3 1
31 b6 1 5
31 b4 5 2
31 b1 1 2
32 b4 5 2
32 b6 1 5
32 r 3 1
32 b8 4 3
32 b3 4 1
32 b10 2 6
34 b1 1 1
34 b2 2 1
34 b5 6 2
34 b7 2 5
32 b11 5 6
32 b12 2 3
33 b8 4 2
33 b12 2 3
33 b11 5 6
35 b7 2 5
35 b5 6 2
35 b2 2 1
35 b1 1 1
33 b10 2 6
33 b3 4 1
33 r 3 1
33 b6 1 5
33 b4 5 2
34 b4 5 2
34 b6 1 5
34 r 3 1
34 b9 4 4
34 b3 4 1
34 b10 2 6
36 b1 1 1
36 b2 2 1
36 b5 6 2
36 b7 2 5
34 b11 5 6
34 b12 2 3
34 b8 4 2
35 b8 4 2
35 b12 2 3
35 b9 3 4
35 b11 5 6
37 b7 2 5
37 b2 2 1
37 b1 1 1
35 b10 2 6
35 b3 4 1
35 r 3 1
35 b6 1 5
35 b4 5 2
36 b6 1 5
36 r 3 1
36 b3 4 1
36 b10 2 6
38 b1 1 1
38 b2 2 1
38 b7 2 5
36 b11 5 6
36 b9 3 4
36 b12 2 3
36 b8 4 2
36 b4 5 3
37 b4 5 3
37 b8 4 2
37 b12 2 3
37 b9 3 4
37 b11 5 6
39 b7 2 5
39 b2 2 1
39 b1 1 1
37 b10 2 6
37 b3 4 1
37 r 3 1
37 b6 1 5
37 b5 6 3
38 b5 6 3
38 b6 1 5
38 r 3 1
38 b3 4 1
38 b10 2 6
38 b11 4 6
40 b1 1 1
40 b2 2 1
40 b6 1 4
40 b7 2 5
38 b9 3 4
38 b12 2 3
38 b8 4 2
38 b4 5 3
39 b5 6 4
39 b4 5 3
39 b8 4 2
39 b12 2 3
39 b9 3 4
41 b10 1 6
41 b7 2 5
41 b6 1 4
41 b2 2 1
41 b1 1 1
39 b11 4 6
39 b10 2 6
39 b3 4 1
39 r 3 1
39 b6 1 5
40 r 3 1
40 b3 4 1
40 b10 2 6
40 b11 4 6
42 b1 1 1
42 b2 2 1
42 b6 1 4
42 b7 2 5
42 b10 1 6
42 b11 3 6
40 b9 3 4
40 b12 2 3
40 b8 4 2
40 b4 5 3
40 b5 6 4
41 b5 6 4
41 b4 5 3
41 b8 4 2
41 b12 2 3
41 b9 3 4
43 b11 3 6
43 b10 1 6
43 b7 2 5
43 b6 1 4
43 b2 2 1
43 b1 1 1
41 b11 4 6
41 b3 4 1
41 r 3 1
42 r 3 1
42 b3 4 1
44 b1 1 1
44 b2 2 1
44 b6 1 4
44 b7 2 5
44 b10 1 6
44 b11 3 6
42 b9 3 4
42 b12 2 3
42 b8 4 2
42 b4 5 3
42 b5 6 4
43 b5 6 4
43 b8 4 2
43 b12 2 3
43 b9 3 4
45 b11 3 6
45 b10 1 6
45 b7 2 5
45 b6 1 4
45 b2 2 1
45 b1 1 1
43 b3 4 1
43 r 3 1
43 b4 5 4
44 r 3 1
44 b3 4 1
46 b1 1 1
46 b2 2 1
46 b6 1 4
46 b7 2 5
46 b10 1 6
46 b11 3 6
44 b9 3 4
44 b12 2 3
44 b8 4 2
44 b5 6 4
44 b4 5 5
45 b4 5 5
